Kommunenavn	Kommune	Kirke	Skattenedslag	Grundskyld (promille)
Albertslund	25.60	0.80	0.73	33.940
Allerød	24.30	0.58	0.00	22.800
Assens	26.10	0.95	1.23	22.120
Ballerup	25.50	0.72	0.63	28.890
Billund	24.70	0.89	0.00	20.480
Bornholm	26.20	0.93	1.33	33.410
Brøndby	24.30	0.80	0.00	20.500
Brønderslev	26.90	1.09	2.03	31.230
Dragør	24.80	0.60	0.00	25.020
Egedal	25.70	0.76	0.83	23.980
Esbjerg	25.60	0.81	0.73	25.290
Fanø	24.90	1.14	0.03	34.000
Favrskov	25.70	1.00	0.83	23.320
Faxe	26.10	1.08	1.23	25.000
Fredensborg	25.30	0.60	0.43	24.650
Fredericia	25.50	0.88	0.63	26.000
Frederiksberg	22.80	0.50	0.00	24.750
Frederikshavn	26.20	1.03	1.33	29.900
Frederikssund	25.40	0.96	0.53	32.500
Furesø	24.80	0.65	0.00	21.500
Faaborg-Midtfyn	26.10	1.05	1.23	22.850
Gentofte	22.80	0.41	0.00	16.000
Gladsaxe	23.80	0.73	0.00	23.000
Glostrup	23.60	0.67	0.00	25.000
Greve	23.90	0.73	0.00	16.940
Gribskov	24.70	0.88	0.00	29.340
Guldborgsund	26.30	1.16	1.43	32.340
Haderslev	26.30	0.95	1.43	24.360
Halsnæs	25.70	0.85	0.83	34.000
Hedensted	25.40	0.98	0.53	18.000
Helsingør	25.40	0.64	0.53	28.500
Herlev	23.70	0.77	0.00	24.300
Herning	24.90	0.99	0.03	20.530
Hillerød	25.60	0.69	0.73	20.650
Hjørring	25.90	1.19	1.03	34.000
Holbæk	25.10	0.96	0.23	23.650
Holstebro	25.30	1.08	0.43	24.120
Horsens	25.20	0.89	0.33	22.560
Hvidovre	25.50	0.72	0.63	29.700
Høje-Taastrup	24.60	0.85	0.00	24.600
Hørsholm	23.20	0.62	0.00	22.100
Ikast-Brande	25.10	1.00	0.23	20.350
Ishøj	25.00	0.90	0.13	25.000
Jammerbugt	25.70	1.20	0.83	32.850
Kalundborg	25.00	1.01	0.13	34.000
Kerteminde	26.20	0.99	1.33	30.300
Kolding	25.00	0.94	0.13	25.000
København	23.80	0.80	0.00	34.000
Køge	24.90	0.87	0.03	21.040
Langeland	27.80	1.14	2.93	24.570
Lejre	25.20	1.05	0.33	28.230
Lemvig	25.20	1.27	0.33	28.000
Lolland	27.00	1.23	2.13	33.090
Lyngby-Taarbæk	23.70	0.55	0.00	21.490
Læsø	26.50	1.30	1.63	34.000
Mariagerfjord	25.90	1.15	1.03	28.800
Middelfart	25.80	0.95	0.93	21.290
Morsø	25.80	1.20	0.93	24.680
Norddjurs	25.60	1.00	0.73	34.000
Nordfyns	26.00	1.04	1.13	29.980
Nyborg	26.40	1.12	1.53	27.830
Næstved	25.00	0.98	0.13	25.000
Odder	25.10	0.98	0.23	30.320
Odense	25.00	0.68	0.13	21.710
Odsherred	26.60	0.98	1.73	34.000
Randers	25.60	0.89	0.73	27.930
Rebild	25.50	1.20	0.63	26.090
Ringkøbing-Skjern	25.00	1.05	0.13	31.000
Ringsted	26.70	0.93	1.83	24.740
Roskilde	25.20	0.84	0.33	24.310
Rudersdal	22.50	0.56	0.00	22.930
Rødovre	25.70	0.72	0.83	30.800
Samsø	26.00	1.25	1.13	30.750
Silkeborg	25.50	0.95	0.63	28.260
Skanderborg	25.70	0.86	0.83	24.660
Skive	25.50	1.00	0.63	20.680
Slagelse	24.70	0.96	0.00	25.300
Solrød	24.60	0.82	0.00	20.950
Sorø	26.40	0.95	1.53	25.740
Stevns	25.00	1.10	0.13	21.520
Struer	25.30	1.20	0.43	22.900
Svendborg	26.80	1.03	1.93	23.320
Syddjurs	25.90	1.00	1.03	33.800
Sønderborg	25.70	0.93	0.83	27.100
Thisted	25.50	1.28	0.63	23.750
Tønder	25.30	1.16	0.43	21.240
Tårnby	23.10	0.61	0.00	24.000
Vallensbæk	25.10	0.68	0.23	24.380
Varde	25.10	1.00	0.23	31.560
Vejen	25.20	1.06	0.33	20.360
Vejle	23.40	0.89	0.00	27.750
Vesthimmerland	27.00	1.18	2.13	22.820
Viborg	25.70	0.93	0.83	23.700
Vordingborg	25.20	1.02	0.33	32.320
Ærø	26.10	1.07	1.23	30.000
Aabenraa	25.60	0.95	0.73	18.900
Aalborg	25.40	0.98	0.53	26.950
Aarhus	24.40	0.74	0.00	24.580
